Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-2588.825	-2696.072	107.2467	0.2191891	0.311894	0.518943	0.136878	0.0322847	1.769679	0.5021413
6	-2585.885	-2692.955	107.0702	0.3330775	0.280857	0.516228	0.137653	0.0652618	1.924447	0.502864
12	-2587.492	-2694.818	107.3257	0.2324458	0.604756	0.300594	0.0636128	0.031037	1.632976	0.6980061
18	-2585.451	-2692.67	107.2197	0.2626635	0.550806	0.296189	0.0532521	0.0997528	1.676869	0.7946667
24	-2602.408	-2709.644	107.236	0.2239797	0.519466	0.350564	0.0358932	0.094077	1.505008	0.9700563
30	-2600.22	-2707.5	107.2797	0.2381165	0.360661	0.545164	0.0282761	0.0658986	1.414766	1.020623
36	-2601.276	-2708.499	107.2235	0.3785773	0.375866	0.52669	0.0235255	0.0739186	1.549594	0.8741531
42	-2592.416	-2699.766	107.3498	0.2923956	0.28706	0.563136	0.0447483	0.105056	1.576662	0.7409412
48	-2596.328	-2703.441	107.1138	0.4356037	0.236642	0.634997	0.0254779	0.102884	1.532978	0.9595544
54	-2608.15	-2715.235	107.0846	0.3335436	0.460734	0.438291	0.0568083	0.0441667	1.458224	1.136224
60	-2608.653	-2715.786	107.1324	0.3594632	0.254553	0.622745	0.0776892	0.0450128	1.337716	1.184901
66	-2607.531	-2714.704	107.1724	0.2413934	0.466438	0.392505	0.088227	0.0528304	1.331543	1.194967
72	-2601.398	-2707.135	105.7368	1.994809	0.627158	0.201394	0.137657	0.0337904	1.719748	0.5860947
78	-2598.444	-2704.793	106.3489	1.36327	0.62878	0.201915	0.138013	0.0312913	1.377928	0.9537175
84	-2600.181	-2706.306	106.1243	1.514435	0.553639	0.255051	0.155952	0.0353584	1.48541	0.9370795
90	-2603.888	-2709.585	105.6969	1.929925	0.424905	0.464522	0.0862261	0.0243466	1.70417	0.7838287
96	-2599.402	-2705.717	106.3149	1.300073	0.509497	0.401367	0.0695095	0.0196265	1.614142	0.7820907
102	-2602.354	-2708.747	106.3935	1.240183	0.607154	0.12873	0.232411	0.0317043	1.685713	0.6121306
108	-2607.037	-2713.844	106.8074	0.8620112	0.427169	0.352567	0.163555	0.0567098	1.490165	0.8580978
114	-2600.877	-2708.105	107.2274	0.4034111	0.348373	0.507625	0.0933242	0.0506771	1.464927	0.9414457
120	-2601.23	-2708.333	107.1028	0.354214	0.502411	0.320979	0.115512	0.0610979	1.497574	1.071194
126	-2612.612	-2719.922	107.31	0.2848157	0.572829	0.296511	0.0817294	0.0489305	1.524199	0.8669329
132	-2601.476	-2708.756	107.2801	0.2848157	0.289115	0.521744	0.111432	0.0777086	1.638258	0.7571069
138	-2604.63	-2711.853	107.223	0.3021613	0.33425	0.485873	0.0661065	0.11377	1.745691	0.6600534
144	-2602.03	-2709.271	107.2411	0.2257469	0.199095	0.543312	0.130373	0.12722	1.719485	0.6909018
150	-2607.334	-2714.306	106.9722	0.469256	0.237114	0.64706	0.0969516	0.018875	1.834078	0.7211999
156	-2597.681	-2704.884	107.2025	0.3324488	0.260612	0.643727	0.0343134	0.0613478	1.746627	0.6672488
162	-2597.75	-2705.06	107.3098	0.4234538	0.25273	0.597122	0.0906552	0.0594923	1.484384	0.8010121
168	-2599.08	-2706.27	107.1896	0.245736	0.110857	0.621596	0.126806	0.140741	1.62388	0.8970061
174	-2603.756	-2710.945	107.1886	0.2887656	0.273079	0.479739	0.100734	0.146448	1.808121	0.6056836
180	-2597.868	-2705.01	107.1417	0.3129759	0.301383	0.529463	0.0499942	0.119159	1.835686	0.6293707
186	-2597.422	-2704.566	107.1441	0.4295394	0.290862	0.556389	0.0378216	0.114927	1.659514	0.7808061
192	-2589.028	-2696.177	107.1492	0.296031	0.354091	0.515482	0.0239496	0.106477	1.861844	0.464979
198	-2589.719	-2696.902	107.1829	0.3149103	0.323262	0.563721	0.0512322	0.0617844	1.814713	0.5631155
204	-2592.798	-2699.96	107.1623	0.3210558	0.30365	0.506712	0.0837463	0.105892	1.833056	0.5586655
210	-2600.462	-2707.703	107.2419	0.2611395	0.276805	0.555678	0.0957888	0.0717281	1.780875	0.4999913
216	-2595.674	-2702.743	107.0695	0.3204398	0.331646	0.570001	0.0590823	0.0392707	1.932266	0.4889291
222	-2598.275	-2705.334	107.0586	0.3324655	0.447843	0.463954	0.0735377	0.0146653	1.934902	0.4725046
228	-2602.534	-2709.511	106.9763	0.3324655	0.474163	0.323477	0.0778595	0.124501	2.014158	0.4534851
234	-2598.081	-2705.128	107.0469	0.2629333	0.315381	0.456963	0.0875919	0.140064	1.971045	0.4534851
240	-2596.369	-2703.41	107.0411	0.2673591	0.504565	0.343269	0.0585471	0.0936196	1.976162	0.4534851
246	-2600.521	-2707.624	107.1024	0.21295	0.483356	0.35864	0.060793	0.097211	1.886639	0.397897
252	-2598.288	-2705.278	106.9897	0.2378822	0.296013	0.322624	0.062786	0.318577	2.013272	0.4083917
258	-2593.399	-2700.485	107.0853	0.2956199	0.245766	0.47613	0.130536	0.147568	1.928489	0.4961154
264	-2591.506	-2698.431	106.9251	0.3196459	0.421868	0.384542	0.0908665	0.102723	2.068031	0.434765
270	-2600.634	-2707.694	107.0604	0.2368844	0.539581	0.323109	0.0675465	0.069764	1.959245	0.4668118
276	-2600.936	-2707.921	106.9855	0.2368844	0.606251	0.289221	0.0604623	0.0440657	2.022179	0.4200991
282	-2601.725	-2708.848	107.1227	0.3216321	0.475108	0.41273	0.109375	0.00278691	1.293849	1.250905
288	-2602.564	-2709.585	107.0206	0.284673	0.604691	0.310189	0.082201	0.0029198	1.256727	1.376589
294	-2605.507	-2712.795	107.2885	0.2172796	0.0775679	0.762042	0.152588	0.00780296	1.154417	1.240693
300	-2618.578	-2725.759	107.1805	0.2264838	0.0646064	0.672474	0.179642	0.0832773	1.15475	1.331893
306	-2598.336	-2705.532	107.1962	0.2412892	0.336545	0.419442	0.147071	0.0969417	1.188707	1.294543
312	-2591.749	-2699.017	107.2684	0.2412892	0.358228	0.470589	0.126303	0.04488	1.465289	0.981952
318	-2592.934	-2700.258	107.3242	0.3181742	0.352626	0.431666	0.159155	0.0565534	1.421425	0.9495163
324	-2606.72	-2713.623	106.9027	0.3183091	0.284544	0.538848	0.0660856	0.110523	1.552867	1.219716
330	-2600.685	-2707.886	107.2012	0.3294841	0.238948	0.502899	0.121087	0.137066	1.534489	0.9531835
336	-2600.305	-2707.59	107.285	0.2302633	0.266969	0.535518	0.128941	0.0685725	1.625087	0.7730914
342	-2604.461	-2711.66	107.1997	0.264329	0.412089	0.462741	0.0679238	0.0572463	1.789232	0.6406639
348	-2601.096	-2708.373	107.2773	0.2855707	0.398639	0.460438	0.0779021	0.0630212	1.526996	0.9010346
354	-2603.855	-2710.811	106.9559	0.4809948	0.405992	0.454807	0.0769495	0.0622505	1.608567	0.9997452
360	-2595.48	-2702.629	107.1494	0.3262141	0.385434	0.431777	0.0804428	0.102346	1.515649	1.026555
366	-2603.843	-2710.922	107.0794	0.2192987	0.266389	0.432321	0.0511935	0.250097	1.515649	1.109048
372	-2603.078	-2710.203	107.1255	0.2192987	0.621721	0.221399	0.0298525	0.127028	1.638101	0.9444368
378	-2605.265	-2712.66	107.3953	0.1978675	0.645594	0.164758	0.0417424	0.147906	1.499237	0.7694446
384	-2602.423	-2709.589	107.1656	0.1799605	0.629295	0.237497	0.0535531	0.079654	1.77021	0.6689914
390	-2605.905	-2712.376	106.4706	0.5347093	0.245592	0.567442	0.0959654	0.0910014	1.067721	1.772112
396	-2608.808	-2715.653	106.8448	0.2750316	0.213936	0.555762	0.177113	0.0531897	1.213198	1.545425
402	-2616.208	-2723.064	106.8555	0.3403611	0.305431	0.504108	0.112885	0.0775761	1.265814	1.475481
408	-2615.919	-2722.577	106.6579	0.539663	0.338749	0.481643	0.125199	0.0544082	1.28544	1.475481
414	-2602.686	-2709.808	107.122	0.3175302	0.557147	0.331342	0.0754407	0.03607	1.55087	1.023646
420	-2595.559	-2702.78	107.2207	0.2941958	0.399544	0.459559	0.083735	0.0571624	1.551355	0.9331489
426	-2597.33	-2704.405	107.0754	0.2757099	0.509246	0.405515	0.0751831	0.0100552	1.522955	1.109407
432	-2609.352	-2716.085	106.7332	0.3530092	0.614137	0.346576	0.0183538	0.0209333	1.518713	1.368179
438	-2600.061	-2707.211	107.1493	0.2919725	0.605634	0.341778	0.0180997	0.0344888	1.514533	1.043611
444	-2595.077	-2702.203	107.1261	0.2942658	0.559183	0.295513	0.0997311	0.0455731	1.605738	0.9753053
450	-2595.012	-2702.222	107.2109	0.2939302	0.497475	0.354913	0.0812425	0.0663697	1.521107	0.9753053
456	-2600.52	-2707.789	107.2691	0.2718787	0.530465	0.37591	0.0897424	0.00388308	1.510903	0.9318065
462	-2602.273	-2709.297	107.024	0.4177454	0.312686	0.621491	0.0587626	0.00706105	1.59058	1.00856
468	-2604.498	-2711.835	107.3373	0.3159616	0.497295	0.42464	0.0689056	0.00915951	1.59899	0.7079606
474	-2606.382	-2713.673	107.2912	0.2793286	0.379201	0.499747	0.0454461	0.0756062	1.62172	0.7674098
480	-2611.922	-2719.066	107.1439	0.3467206	0.28052	0.547412	0.0629955	0.109072	1.80094	0.6573409
486	-2605.668	-2712.618	106.9502	0.5802233	0.334748	0.479093	0.0560019	0.130157	1.76349	0.6873509
492	-2616.616	-2723.643	107.0264	0.395663	0.296802	0.498717	0.0689927	0.135488	1.914466	0.5660625
498	-2620.461	-2727.765	107.3035	0.3522328	0.261705	0.58455	0.151921	0.00182323	1.626236	0.6798462
504	-2605.731	-2712.677	106.9463	0.2618507	0.299181	0.571037	0.125042	0.00473996	1.106829	1.550691
510	-2605.972	-2712.29	106.3177	1.223854	0.511764	0.0491962	0.438134	0.000906139	1.588866	0.8973498
516	-2601.305	-2708.051	106.7465	0.7383707	0.450921	0.287455	0.261004	0.000620007	1.300043	1.227257
522	-2604.075	-2711.305	107.2295	0.3892912	0.483681	0.32875	0.186779	0.000790108	1.351284	1.064569
528	-2593.966	-2701.349	107.3825	0.3228399	0.18154	0.618134	0.198714	0.0016107	1.380891	0.9277533
534	-2592.493	-2699.755	107.2617	0.3012627	0.143139	0.697049	0.15668	0.00313164	1.512469	0.9277533
540	-2600.353	-2707.788	107.4345	0.2762693	0.178836	0.72191	0.0810454	0.0182086	1.526483	0.6921274
546	-2602.186	-2709.403	107.2173	0.3653208	0.179306	0.730693	0.0715714	0.0184302	1.654263	0.7599576
552	-2601.666	-2708.884	107.218	0.382546	0.290762	0.491921	0.12675	0.090567	1.665319	0.7215142
558	-2596.946	-2704.253	107.3074	0.3478334	0.320943	0.542984	0.0859923	0.0500807	1.601566	0.7215142
564	-2593.542	-2700.741	107.1988	0.3405259	0.370971	0.494937	0.0288506	0.105242	1.684824	0.7674051
570	-2602.959	-2710.207	107.2484	0.2825182	0.142437	0.673492	0.0304525	0.153619	1.706382	0.700174
576	-2601.763	-2708.994	107.2309	0.2911978	0.320064	0.579466	0.0853667	0.0151039	1.756779	0.6274619
582	-2601.458	-2708.718	107.2598	0.3274475	0.358312	0.549879	0.0780068	0.0138017	1.644355	0.7490213
