Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	tree_length
0	-2588.825	-2696.072	107.2467	0.00571865	0.210563	0.789437	0.994281	0.2191891	0.0141465	0.00286237	0.00218919	0.0144628	0.00657554	0.0752625	0.000467389	0.00240089	0.0148737	0.00161497	0.00856207	0.000641199	0.00345626	0.0015112	0.00466817	0.000155817	0.000835331	0.00180045	4.78862e-05	0.000360094	0.00054161	0.000711965	0.00333211	0.00913318	0.00619453	0.00673664	0.00669445	0.00330986	0.00297731	0.00121727	0.00762155	0.0042929	0.000442238	0.00528876	0.0134182	0.00296368	0.015415	0.00941029	0.00732973	0.00879105	0.018254	0.00877376	0.0058724	0.0212405	0.00667323	0.0036791	0.00597139	0.013311	0.0184519	0.0112496	0.0145442	0.000430388	0.00930179	0.00289214	0.00594184	0.00444653	0.00545909	0.0143317	0.0050893	0.00487134	0.00847154	0.000852481	0.000479751	0.00213004	0.0114461	0.00564035	0.0196191	0.311894	0.518943	0.136878	0.0322847	0.0865134	0.303119	0.689085	1.4512	3.29904	11.5589	1.769679	0.0281723	0.00570033	0.00435971	0.0288022	0.013095	0.149883	0.000930792	0.0047813	0.0296205	0.00321616	0.0170511	0.00127693	0.00688304	0.00300952	0.00929652	0.000310304	0.00166354	0.00358554	9.5364e-05	0.000717116	0.0010786	0.00141786	0.00663579	0.0181885	0.0123362	0.0134158	0.0133318	0.00659149	0.00592924	0.00242415	0.0151781	0.00854918	0.000880704	0.0105324	0.026722	0.00590208	0.0306986	0.0187403	0.0145969	0.0175071	0.0363523	0.0174727	0.0116947	0.0422999	0.0132896	0.00732682	0.0118918	0.0265086	0.0367464	0.0224033	0.0289645	0.000857105	0.0185243	0.00575962	0.011833	0.00885513	0.0108716	0.0285412	0.0101352	0.00970113	0.0168708	0.00169769	0.000955409	0.0042419	0.0227945	0.0112326	0.0390709	0.5021413
36	-2601.276	-2708.499	107.2235	0.0285385	0.28163	0.71837	0.971461	0.3785773	0.0324817	0.00366984	0.0152978	0.0152414	0.0101347	0.0921758	0.0012244	0.00010415	0.0174068	0.0138841	0.00989601	0.000288722	0.0183836	0.0108537	0.00281753	0.00513951	0.0108613	0.00755413	3.82502e-05	0.000911835	0.000188901	0.00178825	0.00177417	0.00941689	0.00695421	0.0104679	0.013313	0.0101105	0.00764446	0.000374542	0.00812841	0.00548976	0.00135144	0.00226843	0.0146918	0.0123671	0.0229623	0.00917179	0.0128571	0.0245914	0.0331477	0.00705089	0.0129007	0.0523503	0.00514916	0.0153468	0.0107849	0.0270091	0.0430339	0.0282514	0.0333999	0.00144531	0.0118766	0.0052742	0.00527501	0.0138953	0.0201839	0.0051231	0.00502168	0.00173716	0.00820726	0.00520832	0.000834786	0.00581708	0.0288162	0.0158232	0.0269115	0.375866	0.52669	0.0235255	0.0739186	0.117293	0.351627	0.721748	1.38552	2.84393	8.52565	1.549594	0.0371579	0.00419816	0.0175002	0.0174356	0.0115938	0.105446	0.00140067	0.000119143	0.0199128	0.015883	0.0113207	0.000330288	0.0210302	0.0124162	0.00322316	0.00587942	0.0124249	0.00864166	4.37569e-05	0.00104311	0.000216096	0.00204569	0.00202958	0.0107726	0.00795537	0.011975	0.0152295	0.0115661	0.00874499	0.000428463	0.00929861	0.00628008	0.001546	0.00259501	0.0168069	0.0141475	0.026268	0.0104922	0.0147081	0.0281317	0.0379198	0.00806597	0.0147579	0.0598869	0.00589046	0.0175561	0.0123376	0.0308975	0.0492293	0.0323186	0.0382083	0.00165339	0.0135864	0.00603349	0.00603443	0.0158957	0.0230897	0.00586064	0.00574462	0.00198725	0.00938882	0.00595814	0.000954966	0.00665453	0.0329647	0.0181012	0.0307858	0.8741531
72	-2601.398	-2707.135	105.7368	0.209698	0.414874	0.585126	0.790303	1.994809	0.0168815	0.00347606	0.0076767	0.0072594	0.00507479	0.0470685	0.0115713	0.00253669	0.0189084	0.00574345	0.00310316	0.000912628	0.00786448	0.00510891	0.00068793	0.00353829	0.00645869	0.00570676	9.62485e-06	0.0020622	1.44596e-05	0.00128337	0.0150542	0.0149712	0.00191311	0.0088714	0.0066378	0.00379731	0.00395637	0.00140873	0.00472487	0.00405044	0.00194966	0.00745142	0.0170965	0.0264937	0.00416614	0.000546701	0.00315696	0.0168125	0.00146694	0.0114875	0.00533192	0.0112222	0.026854	0.0097248	0.0078893	0.00777434	0.011949	0.0047784	0.0262305	0.0164532	0.0189994	0.0128534	0.0118697	0.005585	0.000174055	0.0142292	0.0125091	0.00853145	0.00875258	0.00114711	0.00126673	0.00440344	0.00859517	0.0297459	0.000263941	0.627158	0.201394	0.137657	0.0337904	0.0926987	0.313501	0.696363	1.43603	3.18978	10.7876	1.719748	0.0288034	0.00593088	0.0130981	0.012386	0.00865866	0.0803088	0.019743	0.00432811	0.0322617	0.00979953	0.00529463	0.00155713	0.0134184	0.00871686	0.00117375	0.00603706	0.0110199	0.00973693	1.6422e-05	0.00351855	2.4671e-05	0.0021897	0.0256856	0.0255439	0.00326416	0.0151365	0.0113255	0.00647901	0.00675039	0.00240359	0.00806162	0.0069109	0.00332653	0.0127137	0.0291702	0.0452038	0.0071083	0.000932786	0.00538643	0.0286856	0.0025029	0.0196001	0.00909737	0.0191475	0.0458186	0.0165925	0.0134608	0.0132647	0.0203874	0.00815295	0.0447548	0.0280726	0.032417	0.0219306	0.0202522	0.00952917	0.000296974	0.024278	0.0213431	0.0145564	0.0149337	0.0019572	0.0021613	0.00751319	0.0146652	0.0507528	0.000450339	0.5860947
108	-2607.037	-2713.844	106.8074	0.107147	0.363914	0.636086	0.892853	0.8620112	0.0358461	0.00958194	0.00729684	0.0167098	0.00369443	0.0815669	0.00545294	0.0121947	0.0227306	0.00351675	0.00355343	0.00514208	0.00907046	0.0045811	0.000322993	0.00457811	0.0139062	0.00107316	8.69044e-06	0.0115902	0.00416736	0.00515294	0.00649506	0.0176951	0.00629085	0.0159202	0.00259009	0.00678678	0.00382312	0.00130427	0.005778	0.00600439	0.00309902	0.00884536	0.0196767	0.0143383	0.00634802	0.00114094	0.0176745	0.0163671	0.00161889	0.030778	0.00623381	0.0115059	0.0298713	0.0171923	0.0140089	0.00705883	0.00428459	0.0077271	0.011667	0.0367517	0.0167406	0.0163243	0.0135796	0.0114062	0.00227884	0.0251973	0.01887	0.0149432	0.0103885	0.000684792	0.00847357	0.0137181	0.0395994	0.0554127	0.00986695	0.427169	0.352567	0.163555	0.0567098	0.127341	0.366008	0.730831	1.36831	2.73218	7.85295	1.490165	0.0417739	0.0111665	0.0085035	0.0194731	0.00430537	0.0950555	0.00635468	0.0142114	0.0264895	0.00409831	0.00414106	0.00599242	0.0105704	0.00533866	0.000376406	0.00533518	0.0162058	0.00125063	1.01276e-05	0.0135068	0.0048565	0.00600507	0.00756913	0.0206213	0.00733115	0.0185529	0.00301841	0.0079091	0.00445534	0.00151995	0.00673349	0.00699732	0.0036115	0.0103081	0.0229306	0.0167094	0.00739779	0.00132961	0.0205973	0.0190737	0.0018866	0.0358677	0.00726468	0.0134086	0.0348111	0.0200354	0.0163255	0.00822613	0.00499313	0.00900491	0.0135963	0.0428293	0.019509	0.0190239	0.0158252	0.0132924	0.00265568	0.0293641	0.0219905	0.0174143	0.0121064	0.000798035	0.00987483	0.0159866	0.0461479	0.0645762	0.0114986	0.8580978
144	-2602.03	-2709.271	107.2411	0.00637643	0.214502	0.785498	0.993624	0.2257469	0.0148776	0.0110008	0.00543111	0.00765691	0.00218282	0.0688507	0.00578423	0.00572762	0.016939	0.006209	0.000364969	0.00486624	0.0138566	0.00189904	0.000901514	0.00382351	0.0125383	0.00511013	1.50566e-05	0.00124339	0.00294707	0.0035361	0.00232372	0.0117598	0.0108695	0.0129866	0.00700067	0.00338064	0.00511323	0.0011252	0.0114434	0.00484818	0.00232865	0.00554939	0.0231742	0.0204076	0.00482717	0.00305217	0.00887235	0.012689	0.00111043	0.0141499	0.0042196	0.0208351	0.0201759	0.00900838	0.0080028	0.00867689	0.00511568	0.00895544	0.0239107	0.0361379	0.00844245	0.0323383	0.00907369	0.00451086	0.00267901	0.0175109	0.0233059	0.00415277	0.00929889	0.00537114	0.0102683	0.0114194	0.0150419	0.0241196	0.00555688	0.199095	0.543312	0.130373	0.12722	0.0927324	0.313557	0.696402	1.43595	3.18922	10.7837	1.719485	0.0215336	0.0159223	0.0078609	0.0110825	0.00315937	0.0996533	0.008372	0.00829007	0.0245172	0.00898681	0.00052825	0.00704332	0.0200558	0.00274864	0.00130484	0.00553409	0.0181477	0.00739632	2.17926e-05	0.00179966	0.00426553	0.00511809	0.00336331	0.0170209	0.0157324	0.0187965	0.0101327	0.00489308	0.0074008	0.0016286	0.0165631	0.00701718	0.00337045	0.0080321	0.033542	0.0295376	0.00698677	0.00441766	0.0128417	0.0183658	0.00160723	0.0204804	0.00610737	0.0301563	0.0292022	0.0130386	0.0115831	0.0125588	0.00740435	0.012962	0.034608	0.0523054	0.0122195	0.0468059	0.0131331	0.00652895	0.00387756	0.025345	0.0337326	0.00601065	0.0134591	0.00777409	0.0148621	0.0165282	0.0217713	0.0349104	0.00804294	0.6909018
180	-2597.868	-2705.01	107.1417	0.01782	0.257743	0.742258	0.98218	0.3129759	0.0125427	0.00550246	0.0093174	0.00366308	0.00228684	0.0925057	0.00626219	0.00218691	0.0123202	0.0037914	0.00534421	0.00213951	0.000346411	0.0015649	0.000155228	0.00535614	0.0193566	0.00303949	3.10973e-05	0.00285958	0.00224421	0.00492146	0.00150113	0.0117187	0.00834946	0.00929583	0.00406961	0.000903886	0.00230572	0.000565096	0.00914219	0.00344042	0.00197637	0.00392416	0.00973237	0.0322381	0.00487655	0.00129867	0.00926517	0.00710807	0.00295667	0.0192066	0.0045178	0.0153535	0.0130445	0.00912365	0.00688948	0.0104483	0.00058779	0.0062247	0.0175423	0.0293162	0.00861071	0.0118261	0.0110222	0.00250376	0.00151551	0.0148327	0.0148781	0.0115932	0.00738885	0.0111277	0.00251855	0.0124039	0.019839	0.0360266	0.0086231	0.301383	0.529463	0.0499942	0.119159	0.0789656	0.28992	0.67958	1.4715	3.44923	12.6637	1.835686	0.019929	0.00874279	0.0148043	0.00582023	0.00363353	0.146981	0.00994992	0.00347475	0.0195754	0.00602411	0.00849135	0.00339945	0.000550409	0.00248645	0.000246639	0.0085103	0.0307555	0.0048294	4.94102e-05	0.00454356	0.00356579	0.00781966	0.00238513	0.0186197	0.0132664	0.01477	0.00646616	0.00143617	0.00366354	0.000897875	0.0145259	0.00546645	0.00314024	0.00623505	0.0154636	0.0512227	0.0077483	0.00206344	0.0147213	0.0112939	0.00469782	0.0305172	0.00717828	0.0243951	0.0207263	0.0144965	0.0109466	0.0166012	0.000933933	0.00989035	0.0278727	0.0465802	0.0136815	0.0187903	0.017513	0.0039782	0.00240797	0.0235675	0.0236396	0.0184204	0.0117401	0.0176807	0.00400169	0.0197084	0.031522	0.0572423	0.0137011	0.6293707
216	-2595.674	-2702.743	107.0695	0.0189762	0.260774	0.739226	0.981024	0.3204398	0.00812237	0.00894825	0.00503444	0.00791633	0.00419921	0.0431907	0.00165244	0.00459228	0.0173552	0.00149163	0.0032398	0.0139344	0.00555964	0.00118063	0.000531457	0.00251709	0.00170388	0.0149313	5.26637e-05	0.000322497	0.000487019	0.00472408	0.00559757	0.00556675	0.0055044	0.00742683	0.00524987	0.00234726	0.00431837	0.00119818	0.00509124	0.00548043	0.000152207	0.00125415	0.0126283	0.00918286	0.00362506	0.000864346	0.00866178	0.0083949	0.00193704	0.0162551	0.00327335	0.0205641	0.0114606	0.00650134	0.00767205	0.00712777	0.00133939	0.00980087	0.00983254	0.0178303	0.00732919	0.01165	0.00918152	0.0100547	0.0023883	0.0145934	0.0171599	0.00607346	0.00635806	0.00875016	0.00401899	0.00895664	0.0136455	0.0102796	0.000663397	0.331646	0.570001	0.0590823	0.0392707	0.0690922	0.271636	0.665908	1.50171	3.6814	14.4734	1.932266	0.0166126	0.0183017	0.0102969	0.0161912	0.00858859	0.0883373	0.00337971	0.00939252	0.0354963	0.00305082	0.00662633	0.0284999	0.0113711	0.00241473	0.00108698	0.00514818	0.00348493	0.0305387	0.000107712	0.000659598	0.000996093	0.0096621	0.0114486	0.0113856	0.0112581	0.01519	0.0107375	0.00480082	0.0088323	0.00245063	0.0104131	0.0112091	0.000311307	0.00256509	0.0258285	0.0187816	0.00741429	0.00176783	0.0177158	0.01717	0.00396181	0.0332464	0.00669494	0.0420595	0.0234403	0.0132971	0.0156915	0.0145783	0.00273945	0.0200456	0.0201104	0.036468	0.0149903	0.0238277	0.0187788	0.0205647	0.00488476	0.0298476	0.0350968	0.012422	0.013004	0.0178966	0.00821998	0.0183189	0.027909	0.0210248	0.00135684	0.4889291
252	-2598.288	-2705.278	106.9897	0.00768167	0.221506	0.778494	0.992318	0.2378822	0.0133359	0.00047462	0.00471189	0.00769321	0.000628783	0.0428102	0.000338897	0.00243529	0.0125482	0.00155832	0.00204376	0.000503945	0.00315977	0.000749716	0.000864819	0.00346107	0.0174871	0.00342833	0.00155024	0.000531538	0.000504105	0.00424177	0.00283821	0.00599958	0.00422499	0.00496654	0.0055049	0.0025983	0.00163247	0.000717707	0.00229303	0.00138629	0.000717364	0.00471041	0.0145241	0.0148209	0.00166792	0.000823994	0.0066936	0.0159011	0.0028472	0.010671	0.0057759	0.0102955	0.0104559	0.00289606	0.00740326	0.00380871	0.00257619	0.00679269	0.00924457	0.0189175	0.000451235	0.0130898	0.0100043	0.00119222	0.00530595	0.010883	0.0129729	0.00220518	0.00460404	0.00528	0.00526673	0.00948779	0.00938363	0.00872743	0.000770118	0.296013	0.322624	0.062786	0.318577	0.0617697	0.257192	0.654653	1.52753	3.88814	16.1892	2.013272	0.0326547	0.00116217	0.0115377	0.0188378	0.00153966	0.104826	0.000829834	0.00596313	0.0307258	0.00381574	0.0050044	0.00123398	0.00773711	0.00183578	0.00211762	0.00847487	0.0428193	0.00839471	0.00379595	0.00130154	0.00123437	0.0103865	0.00694973	0.0146907	0.0103454	0.0121612	0.0134795	0.00636228	0.00399732	0.0017574	0.00561477	0.0033945	0.00175656	0.0115341	0.0355643	0.0362908	0.00408411	0.00201765	0.0163901	0.0389359	0.00697174	0.0261294	0.014143	0.02521	0.0256026	0.00709139	0.0181279	0.00932611	0.00630815	0.0166328	0.0226365	0.046322	0.00110491	0.0320521	0.0244968	0.0029193	0.0129923	0.0266483	0.0317659	0.00539966	0.0112736	0.0129288	0.0128963	0.0232321	0.022977	0.0213702	0.00188573	0.4083917
288	-2602.564	-2709.585	107.0206	0.0136439	0.245385	0.754615	0.986356	0.284673	0.0399318	0.00551982	0.0168362	0.0243659	0.00336698	0.140473	0.0123681	0.00017178	0.0561221	0.00768191	0.00609369	0.000436476	0.0103806	0.0033673	0.0022865	0.0165478	0.00785724	0.0190339	0.00140575	0.00172705	0.00287741	0.00345263	0.0160242	0.0217349	0.0124025	0.0186809	0.0141771	0.0101907	0.0130232	0.00192733	0.00512764	0.0127511	0.00486487	0.0227407	0.0314785	0.0695048	0.00158886	0.0178527	0.0125674	0.0608577	0.0282016	0.0533863	0.0118663	0.038656	0.0360986	0.000655094	0.0171059	0.0228659	0.0549233	0.00325828	0.0195056	0.00144301	0.0251231	0.0256532	0.00591429	0.0504564	0.0511027	0.0163183	0.0335327	0.0367684	0.0427849	0.0197671	0.000573231	0.00728389	0.0115747	0.0255558	0.0064154	0.604691	0.310189	0.082201	0.0029198	0.175864	0.428421	0.767627	1.30272	2.33415	5.68622	1.256727	0.0290078	0.00400978	0.0122304	0.0177002	0.00244588	0.102044	0.00898459	0.000124787	0.040769	0.0055804	0.00442666	0.000317071	0.0075408	0.00244612	0.00166099	0.0120209	0.00570776	0.0138268	0.00102118	0.00125458	0.00209025	0.0025081	0.0116405	0.0157889	0.00900958	0.0135704	0.0102987	0.00740284	0.00946051	0.00140008	0.00372489	0.00926283	0.00353401	0.0165196	0.022867	0.0504906	0.0011542	0.0129688	0.00912938	0.044209	0.0204866	0.0387816	0.0086201	0.028081	0.0262233	0.000475882	0.0124263	0.0166105	0.0398981	0.00236693	0.0141695	0.00104825	0.0182502	0.0186354	0.00429633	0.0366532	0.0371227	0.0118541	0.0243593	0.0267098	0.0310803	0.0143595	0.000416414	0.00529126	0.00840827	0.0185645	0.00466036	1.376589
324	-2606.72	-2713.623	106.9027	0.0186441	0.259918	0.740082	0.981356	0.3183091	0.0429781	0.0109886	0.00802085	0.0127992	0.00587229	0.119888	0.012594	0.00208312	0.0554453	0.00475652	0.0034732	0.00557616	0.00677148	0.00455071	0.00472909	0.0330791	0.046797	0.0168238	0.0027709	0.00207332	0.000307207	0.00358215	0.00826137	0.0074821	0.0197413	0.00985072	0.00632169	0.00481546	0.00949074	0.00584401	0.00605733	0.0100717	0.000675533	0.00299021	0.0366501	0.0057489	0.00167972	0.0499386	0.0231564	0.0410495	0.0190432	0.0595156	0.0103947	0.0250978	0.0245343	0.00250633	0.0156322	0.0332159	0.0335601	0.0113614	0.0124104	0.00421244	0.0334882	0.0193587	0.00375192	0.0386523	0.0247852	0.0123487	0.0499972	0.027066	0.0310905	0.0164283	0.0175242	0.00480255	0.0265647	0.00632434	0.000263392	0.284544	0.538848	0.0660856	0.110523	0.116763	0.350851	0.721252	1.38648	2.85021	8.56433	1.552867	0.0352361	0.00900917	0.006576	0.0104936	0.00481448	0.0982914	0.0103254	0.00170787	0.0454575	0.00389969	0.00284755	0.00457169	0.00555168	0.00373096	0.00387721	0.0271204	0.0383671	0.0137932	0.00227176	0.00169984	0.000251867	0.00293687	0.00677319	0.0061343	0.0161852	0.00807624	0.00518292	0.00394802	0.00778111	0.00479129	0.00496618	0.00825742	0.000553844	0.00245157	0.0300481	0.00471331	0.00137714	0.0409428	0.0189851	0.033655	0.0156128	0.0487947	0.0085222	0.0205767	0.0201148	0.00205485	0.0128163	0.0272325	0.0275147	0.00931478	0.0101748	0.00345362	0.0274558	0.0158715	0.00307607	0.0316896	0.0203204	0.0101242	0.0409909	0.0221904	0.02549	0.0134689	0.0143674	0.00393743	0.0217795	0.00518509	0.000215946	1.219716
